street,avec_hebergement,sum(nb_visiteurs_max)
ruelaroche,0,1678
ruefragonard,0,8
ruedeleybardie,0,92
rueelysereclus,0,0
ruedalzon,0,0
ruedecond,0,25
pldesmartyrsdelaresistance,0,3
placedelglisesaintaugustin,0,475
placemeynard,0,195
ruedechateauneuf,0,46
esplanadedepontac,0,3424
ruedemadrid,0,190
domainedepellegrin,0,0
ruerobertcharazac,0,80
parcdesexpositionsetpalaisdescongres,0,0
biscrsalsaceetlorraine,0,130
rueduprofesseurjeanneney,N,10
ruedecursol,0,1151
etruebrascassat,0,19
ruecharlesmartin,0,829
ruecarpenteyre,0,221
ruejosephbrunetetruepascallafargue,0,11
bisrueabbdelepe,0,22
ruedelaportededijeaux,0,43
ruedesetrangersrueblanquietvoienouvelle,0,250
ruerencassin,0,109
placegambettaruedelavieilletour,0,103
rueetobonchbenier,0,30
coursgeorgesclmenceau,0,307
coursalsaceetlorraine,0,895
ruedevaux,0,70
ruescaligeretruedebrach,0,10
chemintournemirebath,0,16
ruedehourtins,0,150
bisruemondenard,0,46
ruedugnrallarminat,0,30
aruecondillac,0,80
ruedelacroixblanche,1,1356
ruedesdouvesplaceandremeunier,0,994
ruehenridunant,0,0
zacderavesiesud,0,152
ruevirginia,0,1567
ruedugrandrabbinjosephcohen,0,1304
avenuelouisbarthou,0,387
ruethiac,0,144
ruedavidjohnston,0,568
ruebellusmareilhac,0,4
ruedufortlouisplacerenaudel,0,167
placetartasruejudaique,0,45
plainedessportscolettebesson,0,0
ruedepsssac,0,0
coursduquebecavenuelaroque,0,197
alledavezac,0,9
ruebecketplacedarmagnac,0,27
avenuedumarechalgallieni,0,12
tercoursdumdoc,0,199
ruecalv,0,16
quaidequeyriesruesgustcardeetjpalaux,N,72
quaidequeyries,0,16834
alleedespeupliers,0,5
rueausone,0,373
etcoursdelintendance,0,48
bisrueduplessy,0,200
coursportalruesicard,0,18
avenuedelaroque,0,0
avenuedestroiscardinaux,0,512
coursdumedoc,0,4043
bisquaidepaludate,0,266
ruemorton,0,41
ruedelabechade,N,168
ruealfredsmith,0,72
ruebouthier,0,100
bordeauxlac,0,0
ruelecocq,0,443
biscoursaristidebriand,0,19
courslerouzic,0,85
ruerolland,0,488
ruedetivoli,0,260
ruedauperie,0,0
ruemarsan,0,309
etruedumontdurville,0,145
ruedufau,0,3
placeandredonis,0,99
ruedesze,0,204
squaredescommandosdefrance,0,489
angleruesaintemarieetruedepineau,0,7
ruedesaintgenesruecadroin,0,6
ruefurtado,0,308
terruesaintecatherine,0,23
ruedemarseille,N,183
ruedebgles,0,40
avenueares,0,36
terplacegambetta,0,60
ruebahretruepasteur,1,93
ruesstehelinetdomion,0,299
quaidebrienneetruedelalouisiane,0,517
ruenotredame,N,80
bisruebourbon,0,0
ruefrancoisroganeau,0,123
ruejulesferry,N,442
rueemilecombes,0,559
ruedutondu,0,866
rueprofesseurlavignolle,N,40
ruefieff,0,147
quaiarmandlalandeg,0,50
ruebentayoux,0,0
rueperey,0,0
ruedieu,0,215
bdpresidentwilsonrueernestrenan,0,850
avenuelouisbarthou,N,47
alleesdeboutaut,0,577
bisruedesdouves,0,535
placesaintecatherine,0,164
terrassegeneralkoenig,0,19
rueprunier,0,19
etruegeorgesbonnac,0,0
placejohnston,N,30842
bisruemontesquieu,0,0
avenuedudocteurschinazi,0,1030
burotelrueducardinalrichaud,0,0
arueoscaretjeanauriac,0,190
coursmarchalgallini,0,9
logen,0,1185
bisavenuelouisbarthou,0,41
ruecamillesauvageau,0,610
ruedudocteurgabrielpery,0,171
bisruedelacourse,0,1
quaidebrienneetruedelouisiane,0,55
ruejeansamazeuihl,0,-144859
rueneuve,0,253
ruejosphine,0,168
rueclaudebonnierniveau,0,24
ruelarmee,N,18
rueulyssegayon,0,188
rueduchateaudeau,N,20
ruedecolmar,0,6
aruesaintecatherine,0,58
placephilippelebon,0,0
ruedesfaussets,0,448
rueleyteire,0,688
coursalsaceetlorraineruestecolombe,0,116
ruelaseppe,0,30
ruelombard,0,140
crsstlouis,0,50
jardinsdegambetta,0,16
faceauquaideschartrons,0,493
bisterrassedugalkoenigruecourpon,0,1015
ruelouiscombes,N,158
ruefernandmarin,0,160
zacbergesdulac,0,0
ruedumarchalfoch,0,0
ruemarcelinedesbordesvalmore,0,110
rueraymondlavigne,0,72
ruedepauillacetaruedesoulac,0,90
arueanatolefrance,0,52
ruesauteyron,0,83
hall,0,0
quailouisxviii,0,474
rueedmondcostedoat,0,194
centrecommercialmeriadeck,0,0
ruedelabbdelpe,0,0
bisruegravelotte,0,4
avenuedars,0,465
etruedelachassaigne,0,296
coursgeorgesclemenceau,1,132
ruedelaportecailhau,O,31
coursdegourgues,0,13
ruefranzschrader,0,11
rueandremaginot,0,1550
avenuedescardinaux,0,40
alleedelapacific,0,43
ruelamottepicquet,0,20
ruedelamaisondaurade,0,118
ruecardinalrichaud,0,886
ruesdupetitmiotetruegabrielfrizeau,0,0
placecanteloup,0,19
sentedescompagnons,0,93
quaidumarocetruedegironde,1,2310
coursduqubecavenuereinson,0,13
ruedesgnrauxduch,1,131
allecorailzacsaintjeanbelcier,0,271
placettemunich,0,0
ilotanglealleserrruelouiseymie,0,526
rueferrere,0,4511
ruedelacroixdesguey,0,12
quaidebrienneetbdjeanjacquesbosc,0,228
parvisdeschartrons,N,220
etplacedelavictoire,0,14
rueandrelafon,0,12
casernenieldarwin,0,0
bdalbertpremier,0,0
ruejeanfleuretetcoursmarchaljuin,0,124
ilotazacravezies,0,122
ruejeanhameau,1,138
aruelhote,0,106
coursdumdoc,0,3295
alledorlans,0,332
boulevardalienordaquitaine,0,0
quaidessalinires,0,14
coursdequbec,0,217
zaclesbergesdulacginkoiiilotca,0,400
ruedelagaredorlansavenueabadie,1,286
parviscortomaltese,0,0
ruecitredon,0,0
palaisdescogrs,0,0
ruedepessacetruedestgenes,0,5
placecantelouprueplanterose,0,198
ruedupalaisgallien,N,0
boulevardroosevelt,0,0
rueducommandantmarchandruedecestas,0,6
ruedevincennes,0,5
coursduquebec,0,679
boulevardalberter,N,12
rueturenneruedupalaisgallien,0,182
alleesdorleansplacedesquinconces,0,188
ruedesbouviers,0,0
etrueloncemotelay,0,40
ruemonthyon,0,80
acitereinette,0,58
ruepierretrbod,0,130
ruecarlevernetruedarmagnac,0,192
ruefrancoisdesourdis,0,1221
rueducommandantarnould,0,71
ruedelabenatte,0,300
ruefenelonetruemontesquieu,0,2087
bdpresidentwilsonaavchdegaulle,0,54
placedelangalerieruenotredame,0,1000
ruemontmejan,0,45
placeduburg,0,23
ruedumarechaljoffre,N,40
bavenuethiers,0,32
quaideschartronsfaceaun,0,120
placeamedeelarrieu,N,171
ruedetivoliruederiviere,0,12
routedetoulouse,0,247
ruefourteau,0,88
ruedesboucheriesetruereinire,0,95
ruejardel,0,345
bisruejeanjacquesbrel,0,4
ruecourbin,0,35
rueduprofesseurjeanneney,0,713
ruegeneraldelarminatilotornano,0,91
rueducru,0,49
ruedenise,0,16
parvisdeschartrons,0,60560
ruenancelpenard,N,5
ruelucienfaureanglequailawton,0,76
ruedegrammont,0,0
acoursedouardvaillant,0,20
rueemilefourcand,0,33
maildesbordelaispromenadedulac,0,48
ruedetrois,0,146
bisruelucienfaure,0,50
ruegobineau,1,131
avenuedumarechaldelattredetassigny,0,286
ruefrancisdelobelle,0,100
quaidepaludate,0,15930
placecharlesgruet,0,36
ruegoya,0,66
niveauxet,0,5466
centrecommercialmriadeck,0,0
rueduprelouisjabrun,0,72
rueelisereclus,0,59
avenuesaintamand,0,49
ruenancelpeynard,0,0
residencedulac,0,15
placeducardinaldonnet,0,1000
etallesdechartres,0,40
placelopezetruebahr,0,126
rueserretruejardel,0,0
placemariebrizard,0,24
cebparcdesexpositionshall,0,2500
placeduparlement,N,49
ruesaintsernin,0,211
ruedelacourse,0,53
ruemautrec,0,80
rueplacedescapucins,0,0
placeandremeunier,0,350
rueemilepeynaud,0,264
bassinsaflots,N,2323
bisruedelecolenormale,N,84
coursdelalibration,0,104
rueligier,0,96
zaclesbergesdulac,0,0
ruelouisdejabrun,0,8
rueducau,0,27
coursgeorgesclmenceau,N,19
